"Story","Title","Result","Date","Stability","Duration (s)"
"Users CURD test with steps","This will create a new User","SUCCESS","2023-01-04T16:24:34.458Z[Europe/London]","0.0","10.43"
"Users CURD test with steps","Verify if the User was added to the application","SUCCESS","2023-01-04T16:24:44.967Z[Europe/London]","0.0","2.43"
"Users CURD test with steps","Update the user information and verify the updated information","SUCCESS","2023-01-04T16:24:47.400Z[Europe/London]","0.0","2.39"
"Users CURD test with steps","Delete the student and verify if the student is deleted!","SUCCESS","2023-01-04T16:24:49.797Z[Europe/London]","0.0","2.75"
